"TIME","Vent","Vout"
0.002187100502,0.181196,0.0818482
0.002188110603,0.189015,0.0820621
0.002189120704,0.192612,0.0823574
0.002190130805,0.191843,0.0827384
0.002191140906,0.18675,0.0832053
0.002192151007,0.177567,0.0837546
0.002193161108,0.164704,0.0843788
0.002194171209,0.148734,0.0850671
0.00219518131,0.130364,0.0858057
0.002196191411,0.110406,0.086589
0.002197201512,0.0897429,0.0873722
0.002198211613,0.0692855,0.0881554
0.002199221714,0.0499374,0.0889219
0.002200231815,0.0325528,0.0896497
0.002201241916,0.0179002,0.0903223
0.002202252017,0.00662849,0.0909256
0.002203262118,-0.000761542,0.0914484
0.002204272219,-0.00393877,0.0918827
0.00220528232,-0.00275639,0.0922244
0.002206292421,0.00274168,0.0924731
0.002207302522,0.0123228,0.0926324
0.002208312623,0.0255755,0.0927098
0.002209322724,0.0419281,0.0927159
0.002210332825,0.0606727,0.0926646
0.002211342926,0.0809973,0.0925718
0.002212353027,0.10202,0.0924527
0.002213363128,0.122829,0.0923337
0.002214373229,0.142521,0.0922257
0.00221538333,0.160242,0.0921491
0.002216393431,0.175223,0.0921205
0.002217403532,0.186815,0.0921538
0.002218413633,0.194518,0.0922603
0.002219423734,0.198,0.0924479
0.002220433835,0.197115,0.0927207
0.002221443936,0.191906,0.0930791
0.002222454037,0.182606,0.0935194
0.002223464138,0.169627,0.0940342
0.002224474239,0.15354,0.0946128
0.00222548434,0.135053,0.0952414
0.002226494441,0.114979,0.0959137
0.002227504542,0.0941981,0.0965861
0.002228514643,0.0736233,0.0972584
0.002229524744,0.0541576,0.0979133
0.002230534845,0.0366553,0.0985291
0.002231544946,0.0218848,0.0990894
0.002232555047,0.010495,0.09958
0.002233565148,0.00298676,0.0999898
0.002234575249,-0.000308832,0.100311
0.00223558535,0.000755035,0.100539
0.002236595451,0.00613446,0.100673
0.002237605552,0.0155968,0.100718
0.002238615653,0.0287306,0.100681
0.002239625754,0.0449641,0.100572
0.002240635855,0.0635896,0.100405
0.002241645956,0.0837948,0.100197
0.002242656057,0.104698,0.0999616
0.002243666158,0.125388,0.0997265
0.002244676259,0.14496,0.0995019
0.00224568636,0.162561,0.0993085
0.002246696461,0.177422,0.0991627
0.002247706562,0.188894,0.0990786
0.002248716663,0.196477,0.0990674
0.002249726764,0.199839,0.099137
0.002250736865,0.198834,0.0992916
0.002251746966,0.193505,0.0995315
0.002252757067,0.184085,0.099853
0.002253767168,0.170986,0.100249
0.002254777269,0.154778,0.100708
0.00225578737,0.136171,0.101217
0.002256797471,0.115976,0.101769
0.002257807572,0.095075,0.102322
0.002258817673,0.0743797,0.102874
0.002259827774,0.0547934,0.103409
0.002260837875,0.0371705,0.103904
0.002261847976,0.0222794,0.104343
0.002262858077,0.010769,0.104713
0.002263868178,0.00314005,0.105001
0.002264878279,-0.000276194,0.1052
0.00226588838,0.000667016,0.105307
0.002266898481,0.00592579,0.105319
0.002267908582,0.0152674,0.105242
0.002268918683,0.0282807,0.105083
0.002269928784,0.0443935,0.104851
0.002270938885,0.0628984,0.104562
0.002271948986,0.0829831,0.104231
0.002272959087,0.103766,0.103872
0.002273969188,0.124335,0.103514
0.002274979289,0.143787,0.103166
0.00227598939,0.161267,0.10285
0.002276999491,0.176008,0.10258
0.002278009592,0.18736,0.102372
0.002279019693,0.194823,0.102237
0.002280029794,0.198065,0.102183
0.002281039895,0.196939,0.102214
0.002282049997,0.19149,0.102329
0.002283060098,0.18195,0.102526
0.002284070199,0.168731,0.102798
0.0022850803,0.152404,0.103133
0.002286090401,0.133677,0.103517
0.002287100502,0.113363,0.103945
0.002288110603,0.092342,0.104372
0.002289120704,0.0715274,0.1048
0.002290130805,0.0518218,0.105209
0.002291140906,0.0340798,0.105579
0.002292151007,0.0190697,0.105893
0.002293161108,0.00744042,0.106138
0.002294171209,-0.0003072,0.106301
0.00229518131,-0.00384203,0.106375
0.002296191411,-0.00301727,0.106356
0.002297201512,0.00212321,0.106243
0.002298211613,0.0113467,0.106041
0.002299221714,0.024242,0.105756
0.002300231815,0.040237,0.105399
0.002301241916,0.0586243,0.104984
0.002302252017,0.0785915,0.104528
0.002303262118,0.0992571,0.104044
0.002304272219,0.119709,0.10356
0.00230528232,0.139044,0.103087
0.002306292421,0.156408,0.102644
0.002307302522,0.171032,0.10225
0.002308312623,0.182268,0.101916
0.002309322724,0.189614,0.101656
0.002310332825,0.19274,0.101476
0.002311342926,0.191499,0.101381
0.002312353027,0.185934,0.101371
0.002313363128,0.176279,0.101443
0.002314373229,0.162945,0.101589
0.00231538333,0.146503,0.101799
0.002316393431,0.127662,0.102058
0.002317403532,0.107233,0.10236
0.002318413633,0.0860979,0.102663
0.002319423734,0.0651694,0.102965
0.002320433835,0.0453503,0.10325
0.002321443936,0.027495,0.103495
0.002322454037,0.0123718,0.103685
0.002323464138,0.000629725,0.103804
0.002324474239,-0.00723041,0.103843
0.00232548434,-0.0108775,0.103793
0.002326494441,-0.0101647,0.103649
0.002327504542,-0.00513585,0.103412
0.002328514643,0.00397629,0.103086
0.002329524744,0.0167605,0.102676
0.002330534845,0.0326447,0.102196
0.002331544946,0.0509215,0.101657
0.002332555047,0.0707786,0.101077
0.002333565148,0.0913343,0.10047
0.002334575249,0.111677,0.0998624
0.00233558535,0.130902,0.0992658
0.002336595451,0.148157,0.0987004
0.002337605552,0.162673,0.0981826
0.002338615653,0.173801,0.0977265
0.002339625754,0.181039,0.0973434
