"TIME","Vout"
0.0002602919039,5.43602e-005
0.0002606445974,-0.0033123
0.0002610233567,-0.00692283
0.0002612361992,-0.00894719
0.0002614585624,-0.0110563
0.0002618222798,-0.0144871
0.0002621651265,-0.0176932
0.0002628488917,-0.0239751
0.0002634186248,-0.0290666
0.0002639350466,-0.0335449
0.0002642381998,-0.0361057
0.0002645289181,-0.0385086
0.0002648904988,-0.0414178
0.000265367748,-0.0451103
0.0002661964671,-0.0510745
0.0002670241946,-0.0564021
0.0002675821133,-0.0596089
0.0002681437711,-0.0624997
0.0002688003538,-0.0654212
0.000269890588,-0.069105
0.0002700195839,-0.0694328
0.000270165418,-0.0697859
0.0002703595465,-0.0702171
0.0002704618847,-0.0704248
0.0002705906574,-0.0706668
0.0002707350283,-0.0709125
0.0002709942477,-0.0712864
0.0002715126866,-0.0717787
0.0002725495643,-0.0717794
0.000274216231,-0.0692127
0.0002758828977,-0.0637345
0.0002775495643,-0.0556275
0.0002783975409,-0.0505634
0.0002788781955,-0.0474291
0.0002791094191,-0.045856
0.0002793127531,-0.044439
0.0002795089807,-0.0430424
0.0002796952095,-0.041691
0.000279983224,-0.0395522
0.0002803182403,-0.0369914
0.0002805216796,-0.0353988
0.0002806750461,-0.0341799
0.0002808508922,-0.0327635
0.0002810043085,-0.0315118
0.0002810931006,-0.0307798
0.0002812623351,-0.0293717
0.0002814342581,-0.0279239
0.000281778104,-0.0249795
0.0002821791088,-0.0214697
0.0002827514268,-0.0163377
0.0002831662111,-0.0125405
0.0002835582538,-0.00890197
0.0002838133894,-0.00651251
0.0002839427712,-0.00529507
0.0002840725457,-0.00407042
0.0002841332451,-0.0034964
0.0002842024399,-0.00284116
0.0002842787753,-0.00211727
0.000284431446,-0.000666587
0.0002845931274,0.000873467
0.0002849164901,0.00395979
0.0002852411111,0.00705991
0.0002855948754,0.0104335
0.0002858221573,0.012596
0.0002860331566,0.0145981
0.0002864023068,0.0180821
0.0002867518672,0.0213526
0.000287450988,0.0277757
0.0002879632955,0.0323596
0.0002885378516,0.037347
0.0002888266103,0.039785
0.000289123825,0.0422411
0.000289483763,0.0451356
0.0002899605111,0.048822
0.0002907312232,0.0543849
0.0002915854539,0.0599131
0.0002921422322,0.0631264
0.0002927058173,0.0660404
0.0002933823288,0.0690575
0.0002944923192,0.0727903
0.0002946281134,0.0731418
0.0002947479821,0.0734329
0.0002949474908,0.0738753
0.0002950840107,0.074148
0.0002952181114,0.0743924
0.0002954594673,0.0747739
0.0002959421793,0.0753151
0.0002969076032,0.0755413
0.0002985742698,0.0734179
0.0003002409365,0.0683615
0.0003019076032,0.0606536
0.0003021159365,0.0594885
0.0003025326032,0.0570719
0.0003033659365,0.0518415
0.0003039776873,0.0476692
0.0003042385076,0.0458065
0.0003044985302,0.0439007
0.0003047114339,0.0423048
0.0003049412397,0.0405472
0.0003053229393,0.0375495
0.0003054813533,0.0362774
0.0003056540169,0.0348731
0.0003057750174,0.0338774
0.000305908186,0.0327706
0.0003059936113,0.0320552
0.0003061644619,0.0306118
0.0003065061631,0.0276777
0.0003068980065,0.0242413
0.0003074621401,0.0191772
0.0003079325381,0.0148651
0.0003082439325,0.0119728
0.0003083903445,0.0106037
0.000308535791,0.00923839
0.0003086620283,0.00804922
0.0003087452109,0.00726371
0.0003089115761,0.00568855
0.0003090820131,0.00406963
0.000309422887,0.000822276
0.0003098374871,-0.00313328
0.000310312048,-0.00765452
0.0003105448961,-0.0098672
0.0003107978701,-0.0122634
0.0003111986627,-0.0160348
0.0003115740416,-0.0195311
0.0003123247993,-0.0263776
0.0003127846212,-0.0304553
0.0003132156496,-0.0341823
0.000313499042,-0.0365765
0.0003138044543,-0.0391014
0.0003141691169,-0.0420341
0.000314644878,-0.0457132
0.0003154383116,-0.051435
0.0003162515164,-0.0567036
0.0003167827599,-0.059794
0.0003173702898,-0.0628615
0.0003180310244,-0.0658428
0.0003191067503,-0.0695599
0.000319268009,-0.0699776
0.0003194266513,-0.070367
0.0003195839071,-0.0707246
0.0003197718203,-0.0711106
0.0003198863962,-0.0713236
0.0003200285342,-0.071564
0.0003202532929,-0.0718912
0.0003207028101,-0.0723528
0.0003216018445,-0.0725298
0.0003232685112,-0.0703929
0.0003249351779,-0.065302
0.0003266018445,-0.0575394
0.0003268101779,-0.0563658
0.0003272268445,-0.0539317
0.0003280601779,-0.0486632
0.000328671185,-0.0444656
0.0003289814491,-0.042228
0.0003291727868,-0.0408133
0.0003293631443,-0.03938
0.0003295928721,-0.0376166
0.0003298342282,-0.0357251
0.0003299970423,-0.0344271
0.0003301874214,-0.0328876
0.0003303521597,-0.0315369
0.0003304440614,-0.0307753
0.0003306183171,-0.0293174
0.0003307953993,-0.0278176
0.0003311495638,-0.0247667
0.0003315573826,-0.0211754
0.0003321513021,-0.0158164
0.0003327026538,-0.010728
0.0003329664234,-0.00826097
0.0003331006642,-0.00699831
0.000333197427,-0.00608549
0.0003332688151,-0.0054107
0.0003333590874,-0.00455592
0.000333479267,-0.00341553
0.0003337196262,-0.00112725
0.0003340065245,0.00161551
0.0003346505569,0.0077898
0.0003349790505,0.0109342
0.000335197757,0.013023
0.0003354122076,0.0150654
0.0003357641332,0.0183994
0.000336127775,0.0218143
0.0003368488043,0.0284581
0.0003373261805,0.0327434
0.0003378999898,0.0377457
0.0003381914709,0.0402174
0.0003384864409,0.0426657
0.0003388497171,0.0456003
0.0003393273031,0.0493103
0.0003401008102,0.0549205
0.0003409472134,0.0604312
0.0003414829486,0.0635535
0.000342079651,0.0666692
0.0003427644455,0.0697433
0.0003438858824,0.0735356
0.0003440050085,0.0738464
0.0003441547242,0.0742124
