"TIME","Vout","Vent"
0.007742141696,-0.0887504,-0.191819
0.00774297503,-0.0889176,-0.198012
0.007743808363,-0.0890739,-0.199914
0.007744641696,-0.0892302,-0.197443
0.00774547503,-0.0893865,-0.190708
0.007746308363,-0.0895338,-0.180004
0.007747141696,-0.089681,-0.1658
0.00774797503,-0.0898282,-0.148716
0.007748808363,-0.089968,-0.129501
0.007749641696,-0.0901079,-0.108993
0.00775047503,-0.0902477,-0.0880891
0.007751308363,-0.0903875,-0.0677033
0.007752141696,-0.0905215,-0.0487261
0.00775297503,-0.0906554,-0.0319866
0.007753808363,-0.0907893,-0.0182162
0.007754641696,-0.0909232,-0.00801617
0.00775547503,-0.0910571,-0.00183164
0.007756308363,-0.0911851,6.77851e-005
0.007757141696,-0.0913131,-0.00240006
0.00775797503,-0.0914411,-0.00912635
0.007758808363,-0.091569,-0.019816
0.007759641696,-0.0916896,-0.0340007
0.00776047503,-0.0918101,-0.0510591
0.007761308363,-0.0919306,-0.0702443
0.007762141696,-0.0920419,-0.0907162
0.00776297503,-0.0921532,-0.111578
0.007763808363,-0.0922645,-0.131917
0.007764641696,-0.0923646,-0.150842
0.00776547503,-0.0924648,-0.167524
0.007766308363,-0.0925649,-0.181231
0.007767141696,-0.0926533,-0.191362
0.00776797503,-0.0927417,-0.197472
0.007768808363,-0.0928301,-0.199292
0.007769641696,-0.0929078,-0.196739
0.00777047503,-0.0929855,-0.189922
0.007771308363,-0.0930632,-0.179136
0.007772141696,-0.0931323,-0.16485
0.00777297503,-0.0932014,-0.147684
0.007773808363,-0.0932705,-0.128387
0.007774641696,-0.0933328,-0.107797
0.00777547503,-0.0933951,-0.0868112
0.007776308363,-0.0934574,-0.0663435
0.007777141696,-0.0935197,-0.0472845
0.00777797503,-0.0935768,-0.0304633
0.007778808363,-0.0936339,-0.0166111
0.007779641696,-0.0936909,-0.00632935
0.00778047503,-0.093748,-6.31639e-005
0.007781308363,-0.0937994,0.00191787
0.007782141696,-0.0938508,-0.000468407
0.00778297503,-0.0939022,-0.00711319
0.007783808363,-0.0939536,-0.0177214
0.007784641696,-0.0939973,-0.0318247
0.00778547503,-0.094041,-0.0488018
0.007786308363,-0.0940848,-0.0679057
0.007787141696,-0.0941191,-0.0882963
0.00778797503,-0.0941534,-0.109077
0.007788808363,-0.0941877,-0.129335
0.007789641696,-0.0942107,-0.148179
0.00779047503,-0.0942337,-0.16478
0.007791308363,-0.0942567,-0.178406
0.007792141696,-0.0942678,-0.188456
0.00779297503,-0.094279,-0.194486
0.007793808363,-0.0942901,-0.196225
0.007794641696,-0.0942904,-0.193591
0.00779547503,-0.0942906,-0.186694
0.007796308363,-0.0942909,-0.175828
0.007797141696,-0.0942825,-0.161461
0.00779797503,-0.0942741,-0.144215
0.007798808363,-0.0942657,-0.124838
0.007799641696,-0.0942504,-0.104168
0.00780047503,-0.0942352,-0.0831025
0.007801308363,-0.0942199,-0.0625551
0.007802141696,-0.0942046,-0.0434163
0.00780297503,-0.094184,-0.0265156
0.007803808363,-0.0941634,-0.0125839
0.007804641696,-0.0941428,-0.00222279
0.00780547503,-0.0941222,0.00412264
0.007806308363,-0.0940959,0.00618281
0.007807141696,-0.0940696,0.00387554
0.00780797503,-0.0940433,-0.00269036
0.007808808363,-0.094017,-0.0132198
0.007809641696,-0.093983,-0.0272444
0.00781047503,-0.093949,-0.044143
0.007811308363,-0.0939149,-0.0631685
0.007812141696,-0.0938715,-0.0834809
0.00781297503,-0.0938282,-0.104184
0.007813808363,-0.0937848,-0.124364
0.007814641696,-0.0937301,-0.14313
0.00781547503,-0.0936754,-0.159652
0.007816308363,-0.0936207,-0.173201
0.007817141696,-0.0935543,-0.183174
0.00781797503,-0.0934878,-0.189126
0.007818808363,-0.0934213,-0.190788
0.007819641696,-0.093344,-0.188078
0.00782047503,-0.0932667,-0.181103
0.007821308363,-0.0931895,-0.17016
0.007822141696,-0.0931036,-0.155717
0.00782297503,-0.0930178,-0.138395
0.007823808363,-0.0929319,-0.118941
0.007824641696,-0.0928393,-0.0981956
0.00782547503,-0.0927467,-0.0770543
0.007826308363,-0.0926541,-0.0564311
0.007827141696,-0.0925614,-0.0372168
0.00782797503,-0.0924637,-0.0202406
0.007828808363,-0.092366,-0.00623377
0.007829641696,-0.0922682,0.0042024
0.00783047503,-0.0921705,0.0106227
0.007831308363,-0.0920672,0.0127576
0.007832141696,-0.091964,0.0105248
0.00783297503,-0.0918608,0.00403324
0.007833808363,-0.0917575,-0.00642207
0.007834641696,-0.0916468,-0.0203727
0.00783547503,-0.0915361,-0.0371975
0.007836308363,-0.0914253,-0.0561494
0.007837141696,-0.0913054,-0.0763884
0.00783797503,-0.0911855,-0.0970181
0.007838808363,-0.0910656,-0.117125
0.007839641696,-0.0909346,-0.135818
0.00784047503,-0.0908037,-0.152268
0.007841308363,-0.0906727,-0.165745
0.007842141696,-0.0905302,-0.175645
0.00784297503,-0.0903877,-0.181526
0.007843808363,-0.0902451,-0.183116
0.007844641696,-0.0900921,-0.180334
0.00784547503,-0.089939,-0.173288
0.007846308363,-0.089786,-0.162274
0.007847141696,-0.0896246,-0.14776
0.00784797503,-0.0894632,-0.130367
0.007848808363,-0.0893019,-0.110843
0.007849641696,-0.0891341,-0.0900268
0.00785047503,-0.0889663,-0.0688154
0.007851308363,-0.0887986,-0.0481224
0.007852141696,-0.0886308,-0.0288386
0.00785297503,-0.0884583,-0.011793
0.007853808363,-0.0882859,0.00228296
0.007854641696,-0.0881134,0.012788
0.00785547503,-0.0879409,0.019277
0.007856308363,-0.0877634,0.0214803
0.007857141696,-0.0875859,0.0193157
0.00785797503,-0.0874084,0.0128921
0.007858808363,-0.0872309,0.00250443
0.007859641696,-0.0870464,-0.0113788
0.00786047503,-0.0868618,-0.0281364
0.007861308363,-0.0866773,-0.0470213
